hgnc_id	gene_symbol	ncbi_gene_id	ensembl_gene_id	ucsc_id	refseq_accession	ensembl_transcript_id	uniprot_id
5	A1BG	1	ENSG00000121410	uc002qsd.5	NM_130786	ENST00000263100	P04217
37133	A1BG-AS1	503538	ENSG00000268895	uc002qse.3	NR_015380		
24086	A1CF	29974	ENSG00000148584	uc057tgv.1	NM_014576	ENST00000373997	Q9NQ94
7	A2M	2	ENSG00000175899	uc001qvk.2	NM_000014	ENST00000318602	P01023
27057	A2M-AS1	144571	ENSG00000245105	uc009zgj.2	NR_026971		
23336	A2ML1	144568	ENSG00000166535	uc001quz.6	NM_144670	ENST00000299698	A8K2U0
41022	A2ML1-AS1	100874108	ENSG00000256661	uc058kxy.1	NR_046715		
41523	A2ML1-AS2	106478979	ENSG00000256904	uc058kyb.1			
30005	A3GALT2	127550	ENSG00000184389	uc031plq.1	NM_001080438	ENST00000442999	U3KPV4
18149	A4GALT	53947	ENSG00000128274	uc062ewl.1	NM_017436	ENST00000642412	Q9NPC4
17968	A4GNT	51146	ENSG00000118017	uc003ers.2	NM_016161	ENST00000236709	Q9UNA3
13666	AAAS	8086	ENSG00000094914	uc001scr.5	NM_001173466	ENST00000209873	Q9NRG9
21298	AACS	65985	ENSG00000081760	uc001uhc.4	NM_023928	ENST00000316519	Q86V21
18226	AACSP1	729522	ENSG00000250420		NR_024035		
17	AADAC	13	ENSG00000114771	uc003eze.4	NM_001086	ENST00000232892	P22760
24427	AADACL2	344752	ENSG00000197953	uc003ezc.4	NM_207365	ENST00000356517	Q6P093
50301	AADACL2-AS1	101928142	ENSG00000242908		NR_110202		
32037	AADACL3	126767	ENSG00000188984	uc057ckc.1	NM_001103170	ENST00000359318	Q5VUY0
32038	AADACL4	343066	ENSG00000204518	uc001auf.3	NM_001013630	ENST00000376221	Q5VUY2
50305	AADACP1	201651	ENSG00000240602		NR_026915		
17929	AADAT	51166	ENSG00000109576	uc032udw.1	NM_016228	ENST00000337664	Q8N5Z0
25662	AAGAB	79719	ENSG00000103591	uc002aqk.6	NM_024666	ENST00000261880	Q6PD74
19679	AAK1	22848	ENSG00000115977	uc002sfp.3	NM_014911	ENST00000409085	Q2M2I8
30205	AAMDC	28971	ENSG00000087884	uc058fuq.1	NM_024684	ENST00000393427	Q9H7C9
18	AAMP	14	ENSG00000127837	uc002vhk.4	NM_001087	ENST00000248450	Q13685
19	AANAT	15	ENSG00000129673	uc002jro.4	NM_001088	ENST00000392492	Q16613
15886	AAR2	25980	ENSG00000131043	uc002xfc.4	NM_015511	ENST00000320849	Q9Y312
33842	AARD	441376	ENSG00000205002	uc003yof.4	NM_001025357	ENST00000378279	Q4LEZ3
20	AARS1	16	ENSG00000090861	uc002eyn.2	NM_001605	ENST00000261772	P49588
49894	AARS1P1	106480683	ENSG00000249038		NG_043271		
21022	AARS2	57505	ENSG00000124608	uc010jza.2	NM_020745	ENST00000244571	Q5JTZ9
28417	AARSD1	80755	ENSG00000266967	uc031raq.2	NM_001261434	ENST00000427569	Q9BTE6
54994	AARSD1P1	117981788	ENSG00000234969		NG_070706		
23993	AASDH	132949	ENSG00000157426	uc003hbn.5	NM_181806	ENST00000205214	Q4L235
58795	AASDH-DT		ENSG00000269921				
14235	AASDHPPT	60496	ENSG00000149313	uc001pjc.2	NM_015423	ENST00000278618	Q9NRN7
58262	AASDHPPT-AS1		ENSG00000254433				
17366	AASS	10157	ENSG00000008311	uc003vkb.4	NM_005763	ENST00000417368	Q9UDR5
51526	AATBC	284837	ENSG00000215458		NR_026961		
19235	AATF	26574	ENSG00000275700	uc002hni.3	NM_012138	ENST00000619387	Q9NY61
21	AATK	9625	ENSG00000181409	uc010dia.4	NM_004920	ENST00000326724	Q6ZMQ8
22	AAVS1	17					
23	ABAT	18	ENSG00000183044	uc002czc.5	NM_020686	ENST00000268251	P80404
29	ABCA1	19	ENSG00000165029	uc004bcl.4	NM_005502	ENST00000374736	O95477
32	ABCA2	20	ENSG00000107331	uc064xhf.1	NM_001606	ENST00000341511	Q9BZC7
33	ABCA3	21	ENSG00000167972	uc002cpy.2	NM_001089	ENST00000301732	Q99758
55707	ABCA3P1	342293	ENSG00000257408		NG_022511		
34	ABCA4	24	ENSG00000198691	uc001dqh.4	NM_000350	ENST00000370225	P78363
35	ABCA5	23461	ENSG00000154265	uc002jig.3	NM_018672	ENST00000392676	Q8WWZ7
36	ABCA6	23460	ENSG00000154262	uc002jhw.2	NM_080284	ENST00000284425	Q8N139
37	ABCA7	10347	ENSG00000064687	uc002lqw.5	NM_019112	ENST00000263094	Q8IZY2
38	ABCA8	10351	ENSG00000141338	uc002jhq.5	NM_007168	ENST00000586539	O94911
39	ABCA9	10350	ENSG00000154258	uc002jhu.4	NM_172386	ENST00000340001	Q8IUA7
39983	ABCA9-AS1	104355297	ENSG00000231749	uc060jgk.1	NR_126414		
30	ABCA10	10349	ENSG00000154263	uc010dfa.2	NM_080282	ENST00000690296	Q8WWZ4
31	ABCA11P	79963	ENSG00000251595		NR_002451.2		
14637	ABCA12	26154	ENSG00000144452	uc002vew.3	NM_173076	ENST00000272895	Q86UK0
